Iowa Democratic Party	Democrat	https://www.politifact.com/personalities/iowa-democratic-party/
Chris Clark	None	https://www.politifact.com/personalities/chris-clark/
Students for Trump	Republican	https://www.politifact.com/personalities/students-trump/
Brian Newberry	Republican	https://www.politifact.com/personalities/brian-newberry/
Jeanette Kowalik	None	https://www.politifact.com/personalities/jeanette-kowalik/
Byron Brown	Democrat	https://www.politifact.com/personalities/byron-brown/
John Cox	Republican	https://www.politifact.com/personalities/john-cox/
Mark Clayton	Democrat	https://www.politifact.com/personalities/mark-clayton/
Scott DesJarlais	Republican	https://www.politifact.com/personalities/scott-desjarlais/
Ron Hood	Republican	https://www.politifact.com/personalities/ron-hood/
Brian Joseph	None	https://www.politifact.com/personalities/brian-joseph/
Americans United for Change	None	https://www.politifact.com/personalities/americans-united-change/
Campaign for Primary Accountability	None	https://www.politifact.com/personalities/campaign-primary-accountability/
Nik Kovac	None	https://www.politifact.com/personalities/nik-kovac/
Edward Snowden	Libertarian	https://www.politifact.com/personalities/edward-snowden/
Jay Sekulow	None	https://www.politifact.com/personalities/jay-sekulow/
Donald Eastman	None	https://www.politifact.com/personalities/donald-eastman/
Thomas Sowell	None	https://www.politifact.com/personalities/thomas-sowell/
Geraldine Thompson	Democrat	https://www.politifact.com/personalities/geraldine-thompson/
Piers Morgan	Talk show host	https://www.politifact.com/personalities/piers-morgan/
Political Insider	None	https://www.politifact.com/personalities/political-insider/
Rob Wittman	Republican	https://www.politifact.com/personalities/rob-wittman/
Mike Duggan	Democrat	https://www.politifact.com/personalities/mike-duggan/
Dino Rossi	Republican	https://www.politifact.com/personalities/dino-rossi/
Martin Golden	Republican	https://www.politifact.com/personalities/martin-golden/
Shawn Lindsay	Republican	https://www.politifact.com/personalities/shawn-lindsay/
Jon O'Brien	Activist	https://www.politifact.com/personalities/jon-obrien/
Thomas Perez	Democrat	https://www.politifact.com/personalities/thomas-perez/
JoEllen Smith	None	https://www.politifact.com/personalities/joellen-smith/
Jay Wiley	Republican	https://www.politifact.com/personalities/jay-wiley/
Anonymous GOP critics	Republican	https://www.politifact.com/personalities/gop-critics/
Americans For Tax Reform	None	https://www.politifact.com/personalities/americans-tax-reform/
Bryan Steil	Republican	https://www.politifact.com/personalities/bryan-steil/
Kathleen Clyde	Democrat	https://www.politifact.com/personalities/kathleen-clyde/
Jackie Dingfelder	Democrat	https://www.politifact.com/personalities/jackie-dingfelder/
Protect American Jobs	Organization	https://www.politifact.com/personalities/protect-american-jobs/
Jerome R. Corsi	Constitution Party	https://www.politifact.com/personalities/jerome-corsi/
Sandra Williams	Democrat	https://www.politifact.com/personalities/sandra-williams/
Alejandro Mayorkas	None	https://www.politifact.com/personalities/alejandro-mayorkas/
Nickie Antonio	Democrat	https://www.politifact.com/personalities/nickie-antonio/
Jim Barksdale	Democrat	https://www.politifact.com/personalities/jim-barksdale/
Robert Dold	Republican	https://www.politifact.com/personalities/robert-dold/
Frank Lasee	Republican	https://www.politifact.com/personalities/frank-lasee/
Carly Fiorina	Republican	https://www.politifact.com/personalities/carly-fiorina/
Roxanne Ross	None	https://www.politifact.com/personalities/roxanne-ross/
Annette Taddeo	Democrat	https://www.politifact.com/personalities/annette-taddeo-goldstein/
Michael Eric Dyson	None	https://www.politifact.com/personalities/michael-eric-dyson/
Mark Assini	Republican	https://www.politifact.com/personalities/mark-assini/
Penny Pritzker	Democrat	https://www.politifact.com/personalities/penny-pritzker/
Deb Butler	Democrat	https://www.politifact.com/personalities/deb-butler/
Israel O'Quinn	Republican	https://www.politifact.com/personalities/israel-oquinn/
Madison Action Fund	Republican	https://www.politifact.com/personalities/madison-action-fund/
Andy Borowitz	None	https://www.politifact.com/personalities/andy-borowitz/
Arne Duncan	Democrat	https://www.politifact.com/personalities/arne-duncan/
Randy Hopper	Republican	https://www.politifact.com/personalities/randy-hopper/
Mackubin Thomas Owens	Columnist	https://www.politifact.com/personalities/mackubin-thomas-owens/
Dennis Hastert	Republican	https://www.politifact.com/personalities/dennis-hastert/
Chris Ruddy	Republican	https://www.politifact.com/personalities/chris-ruddy/
Oregon Republican Party	Organization	https://www.politifact.com/personalities/oregon-republican-party/
Warren Davidson	Republican	https://www.politifact.com/personalities/warren-davidson/
Shannon Grove	Republican	https://www.politifact.com/personalities/shannon-grove/
Florida for All	Democrat	https://www.politifact.com/personalities/florida-all/
Yes on 22	None	https://www.politifact.com/personalities/yes-22/
Mike Crute	Talk show host	https://www.politifact.com/personalities/mike-crute/
Jon Tester	Democrat	https://www.politifact.com/personalities/jon-tester/
Duty and Honor	Democrat	https://www.politifact.com/personalities/duty-and-honor/
truthcommand.com	None	https://www.politifact.com/personalities/truthcommandcom/
James White	Republican	https://www.politifact.com/personalities/james-white/
Gary Painter	Republican	https://www.politifact.com/personalities/gary-painter/
Troy Balderson	Republican	https://www.politifact.com/personalities/troy-balderson/
Tim McGinty	Democrat	https://www.politifact.com/personalities/tim-mcginty/
Patti Doyle	Organization	https://www.politifact.com/personalities/patti-doyle/
Bloomberg.com	None	https://www.politifact.com/personalities/bloomberg-bloombergcom/
John Ratcliffe	Republican	https://www.politifact.com/personalities/john-ratcliffe/
Senate Leadership Fund	Republican	https://www.politifact.com/personalities/senate-leadership-fund/
Carlos Guillermo Smith	Democrat	https://www.politifact.com/personalities/carlos-guillermo-smith/
Tyler Lee	Republican	https://www.politifact.com/personalities/tyler-lee/
Livable Damascus	None	https://www.politifact.com/personalities/livable-damascus/
MoveOn.org	Democrat	https://www.politifact.com/personalities/moveon/
Liz Carter	Republican	https://www.politifact.com/personalities/liz-carter/
Bill Kennemer	Republican	https://www.politifact.com/personalities/bill-kennemer/
Marco Rubio	Republican	https://www.politifact.com/personalities/marco-rubio/
Mason Tvert	None	https://www.politifact.com/personalities/mason-tvert/
Derrick Van Orden	Republican	https://www.politifact.com/personalities/derrick-van-orden/
Clay Pell	Democrat	https://www.politifact.com/personalities/clay-pell/
Carl Bildt	None	https://www.politifact.com/personalities/carl-bildt/
Ed Turanchik	None	https://www.politifact.com/personalities/ed-turanchik/
Sunny Hostin	Talk show host	https://www.politifact.com/personalities/sunny-hostin/
Ken Plum	Democrat	https://www.politifact.com/personalities/ken-plum/
Ashley Judd	Democrat	https://www.politifact.com/personalities/ashley-judd/
Eugene Yu	Republican	https://www.politifact.com/personalities/eugene-yu/
Marvin Pratt	None	https://www.politifact.com/personalities/marvin-pratt/
Joel Klatt	None	https://www.politifact.com/personalities/joel-klatt/
Jack Whitver	Republican	https://www.politifact.com/personalities/jack-whitver/
Georgia Craft Brewers Guild	None	https://www.politifact.com/personalities/georgia-craft-brewers-guild/
Mark Emmert	None	https://www.politifact.com/personalities/mark-emmert/
Tommie Pierson Jr.	Democrat	https://www.politifact.com/personalities/tommie-pierson-jr/
Steven King	None	https://www.politifact.com/personalities/steven-king/
